sample_id,dataset_name,audio_path,tab_path,split
GOAT/item_0/item_0,GOAT,GOAT/item_0/item_0.wav,GOAT/item_0/item_0.gp5,train
GOAT/item_2/item_2,GOAT,GOAT/item_2/item_2.wav,GOAT/item_2/item_2.gp5,train
GOAT/item_3/item_3,GOAT,GOAT/item_3/item_3.wav,GOAT/item_3/item_3.gp5,train
GOAT/item_4/item_4,GOAT,GOAT/item_4/item_4.wav,GOAT/item_4/item_4.gp5,train
GOAT/item_6/item_6,GOAT,GOAT/item_6/item_6.wav,GOAT/item_6/item_6.gp5,test
GOAT/item_8/item_8,GOAT,GOAT/item_8/item_8.wav,GOAT/item_8/item_8.gp5,train
GOAT/item_9/item_9,GOAT,GOAT/item_9/item_9.wav,GOAT/item_9/item_9.gp5,train
GOAT/item_11/item_11,GOAT,GOAT/item_11/item_11.wav,GOAT/item_11/item_11.gp5,train
GOAT/item_12/item_12,GOAT,GOAT/item_12/item_12.wav,GOAT/item_12/item_12.gp5,train
GOAT/item_13/item_13,GOAT,GOAT/item_13/item_13.wav,GOAT/item_13/item_13.gp5,train
GOAT/item_14/item_14,GOAT,GOAT/item_14/item_14.wav,GOAT/item_14/item_14.gp5,train
GOAT/item_15/item_15,GOAT,GOAT/item_15/item_15.wav,GOAT/item_15/item_15.gp5,train
GOAT/item_16/item_16,GOAT,GOAT/item_16/item_16.wav,GOAT/item_16/item_16.gp5,train
GOAT/item_17/item_17,GOAT,GOAT/item_17/item_17.wav,GOAT/item_17/item_17.gp5,train
GOAT/item_18/item_18,GOAT,GOAT/item_18/item_18.wav,GOAT/item_18/item_18.gp5,train
GOAT/item_19/item_19,GOAT,GOAT/item_19/item_19.wav,GOAT/item_19/item_19.gp5,test
GOAT/item_20/item_20,GOAT,GOAT/item_20/item_20.wav,GOAT/item_20/item_20.gp5,train
GOAT/item_21/item_21,GOAT,GOAT/item_21/item_21.wav,GOAT/item_21/item_21.gp5,train
GOAT/item_22/item_22,GOAT,GOAT/item_22/item_22.wav,GOAT/item_22/item_22.gp5,train
GOAT/item_23/item_23,GOAT,GOAT/item_23/item_23.wav,GOAT/item_23/item_23.gp5,train
GOAT/item_25/item_25,GOAT,GOAT/item_25/item_25.wav,GOAT/item_25/item_25.gp5,validation
GOAT/item_27/item_27,GOAT,GOAT/item_27/item_27.wav,GOAT/item_27/item_27.gp5,train
GOAT/item_28/item_28,GOAT,GOAT/item_28/item_28.wav,GOAT/item_28/item_28.gp5,train
GOAT/item_29/item_29,GOAT,GOAT/item_29/item_29.wav,GOAT/item_29/item_29.gp5,train
GOAT/item_30/item_30,GOAT,GOAT/item_30/item_30.wav,GOAT/item_30/item_30.gp5,train
GOAT/item_31/item_31,GOAT,GOAT/item_31/item_31.wav,GOAT/item_31/item_31.gp5,train
GOAT/item_32/item_32,GOAT,GOAT/item_32/item_32.wav,GOAT/item_32/item_32.gp5,train
