sample_id,dataset_name,audio_path,tab_path,split
clean_stratocaster_clean_bridge/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Radiohead - Creep - gp3__1 - Electric Clean Guitar.gp5,train
clean_stratocaster_clean_neck/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Radiohead - Creep - gp3__1 - Electric Clean Guitar.gp5,train
clean_vintage_clean_bridge/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Radiohead - Creep - gp3__1 - Electric Clean Guitar.gp5,train
clean_vintage_clean_neck/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Radiohead - Creep - gp3__1 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Radiohead - Creep - gp3__1 - Electric Clean Guitar.gp5,train
dist_stratocaster_clean_bridge/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Celestia - Morbid Romance - gp4__5 - Distortion Guitar.gp5,train
dist_stratocaster_clean_neck/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Celestia - Morbid Romance - gp4__5 - Distortion Guitar.gp5,train
dist_vintage_clean_bridge/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Celestia - Morbid Romance - gp4__5 - Distortion Guitar.gp5,train
dist_vintage_clean_neck/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/Celestia - Morbid Romance - gp4__5 - Distortion Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Celestia - Morbid Romance - gp4__5 - Distortion Guitar.gp5,train
dist_stratocaster_clean_bridge/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar.gp5,train
dist_stratocaster_clean_neck/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar.gp5,train
